"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2548","empty login test @regression","webkit","2026-05-26","passed","2026-05-26","","login-empty.spec.ts","",""
"","2703","valid login test @smoke","firefox","2026-05-26","passed","2026-05-26","","login.spec.ts","",""
"","2552","invalid login test @regression","webkit","2026-05-26","passed","2026-05-26","","login-negative.spec.ts","",""
"","2144","valid login test @smoke","firefox","2026-05-26","passed","2026-05-26","","login-positive.spec.ts","",""
"","5686","empty login test @regression","chromium","2026-05-26","passed","2026-05-26","","login-empty.spec.ts","",""
"","1747","valid login test @smoke","chromium","2026-05-26","passed","2026-05-26","","login.spec.ts","",""
"","5673","invalid login test @regression","chromium","2026-05-26","passed","2026-05-26","","login-negative.spec.ts","",""
"","5451","invalid login test @regression","firefox","2026-05-26","passed","2026-05-26","","login-negative.spec.ts","",""
"","2693","valid login test @smoke","chromium","2026-05-26","passed","2026-05-26","","login-positive.spec.ts","",""
"","1727","valid login test @smoke","webkit","2026-05-26","passed","2026-05-26","","login.spec.ts","",""
"","1510","valid login test @smoke","webkit","2026-05-26","passed","2026-05-26","","login-positive.spec.ts","",""
"","4230","empty login test @regression","firefox","2026-05-26","passed","2026-05-26","","login-empty.spec.ts","",""
